City ID,Date,Country,City,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
312,2021-04-16,RU,Lavrentiya,100,31.66,16.22,95,65.5833,-171.0
313,2021-04-16,NC,Poum,29,78.4,18.1,76,-20.2333,164.0167
314,2021-04-16,GB,Newport,54,53.01,1.01,55,51.5877,-2.9984
315,2021-04-16,BR,Matelândia,75,73.4,3.44,78,-25.2408,-53.9964
316,2021-04-16,NC,Noumea,40,75.0,2.3,88,-22.2763,166.4572
317,2021-04-16,RO,Asău,64,44.01,7.83,39,46.4333,26.4
318,2021-04-16,RU,Gdov,100,46.72,11.21,53,58.7406,27.8122
319,2021-04-16,RU,Mukhen,70,38.34,5.28,65,48.1,136.1
320,2021-04-16,RU,Yar-Sale,96,16.61,15.03,86,66.8333,70.8333
321,2021-04-16,US,Pacifica,40,54.0,5.75,71,37.6138,-122.4869
322,2021-04-16,BF,Bobo-Dioulasso,20,95.0,12.66,36,11.1771,-4.2979
323,2021-04-16,BR,Alta Floresta,89,84.72,3.71,66,-9.8756,-56.0861
324,2021-04-16,MA,Marrakesh,75,75.2,8.05,38,31.6315,-8.0083
325,2021-04-16,RU,Synya,99,25.95,0.43,89,65.3718,58.0387
326,2021-04-16,US,Ketchikan,1,44.6,6.91,81,55.3422,-131.6461
327,2021-04-16,CN,Fuxin,60,41.72,15.77,51,42.0156,121.6589
328,2021-04-16,RU,Kysyl-Syr,82,26.56,12.17,84,63.8986,122.7617
329,2021-04-16,FR,Vauvert,0,55.4,13.8,32,43.7,4.2833
330,2021-04-16,US,Nantucket,90,44.6,28.77,76,41.2835,-70.0995
331,2021-04-16,RU,Yerbogachën,58,18.07,10.49,79,61.2767,108.0108
332,2021-04-16,RU,Katangli,100,27.75,2.26,91,51.7102,143.2326
333,2021-04-16,IR,Khāsh,100,71.58,6.58,19,28.2211,61.2158
334,2021-04-16,ID,Sumenep,48,79.34,4.68,77,-7.0167,113.8667
335,2021-04-16,IN,Harsūd,36,92.61,7.07,16,22.1,76.7333
